2010-09-27 01:03:27,339 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47010||||39|1|132.249.69.238
2010-09-27 01:03:27,870 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47011||||||132.249.69.238
2010-09-27 01:03:27,870 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47011||||||132.249.69.238
2010-09-27 01:03:27,902 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47011||||39|1|132.249.69.238
2010-09-27 01:03:27,902 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47011||||39|1|132.249.69.238
2010-09-27 01:03:28,417 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47012||||||132.249.69.238
2010-09-27 01:03:28,417 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47012||||||132.249.69.238
2010-09-27 01:03:28,464 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47012||||40|1|132.249.69.238
2010-09-27 01:03:28,464 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47012||||40|1|132.249.69.238
2010-09-27 01:03:28,980 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47013||||||132.249.69.238
2010-09-27 01:03:28,980 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47013||||||132.249.69.238
2010-09-27 01:03:29,027 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47013||||40|1|132.249.69.238
2010-09-27 01:03:29,027 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47013||||40|1|132.249.69.238
2010-09-27 01:03:29,542 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47014||||||132.249.69.238
2010-09-27 01:03:29,542 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47014||||||132.249.69.238
2010-09-27 01:03:29,589 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47014||||40|1|132.249.69.238
2010-09-27 01:03:29,589 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47014||||40|1|132.249.69.238
2010-09-27 01:03:30,105 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47015||||||132.249.69.238
2010-09-27 01:03:30,105 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47015||||||132.249.69.238
2010-09-27 01:03:30,152 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47015||||41|1|132.249.69.238
